index,id,company name,chemistry_detail,chemistry,format,part,cell status,cell shape,cycle_life,capacity_fade_eol,vol. energy density (wh/l),capacity_nom,v_max,v_nom,v_min,i_cont,i_peak,crate_discharge_cyclelife,weight (gr),volume (cc),i_charge_max,standard charge current (a),crate_charge_cyclelife,t_rest_h,length (mm),height (mm),width_(mm),diameter_(mm),id/date,charging_method,crate_cv_cutoff,t_cycle_dod,op_temp_discharge_min_c,t_max,t_charge_min,storage_temp_max_c,r_internal,charging_voltage_v,charge_cutoff_current_a,calendar_life_years,resistance_growth_eol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-001,ISI-001,Kokam,Nickel rich,NMC,Pouch,SLPB080085270,Active,Prismatic,3000,70,573,26,4.2,3.67,2.7,2.6,52,1,387,475,26,2.6,1,0.5,275,7.9,99,21,KKDS-20200406-BM-CEL-03 ,CC-CV,0.02,90%,0,60,-20,25,2.43,4.22,0.469,7.2,6.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-002,ISI-002,Kokam,Nickel rich,NMC,Pouch,SLPB98188216P,Active,Prismatic,6000,70,338,30,4.2,3.7,2.7,6,600,1,780,475,90,6,1,0.5,223,9.4,199,21,-,CC-CV,0.02,90%,-20,55,-10,30,1.41,4.3,2.195,9.9,3.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-010,ISI-010,Kokam,Nickel rich,NMC,Pouch,SLPB120460330,Active,Prismatic,6000,80,425,150,4.2,3.7,2.7,30,300,1,3020,475,150,30,1,0.5,327,10.5,462,21,KKDS-20200514-BM-CEL-24 ,CC-CV,0.02,90%,-20,60,0,35,2.32,4.23,1.124,10.8,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,resistance_growth_eol
ISI-011,ISI-011,Kokam,Nickel rich,NMC,Pouch,SLPB140460330,Active,Prismatic,6000,70,437,200,4.2,3.7,2.7,40,400,1,3955,475,200,40,1,0.5,327,13.6,462,21,-,CC-CV,0.02,90%,0,60,-20,35,7.08,4.27,0.503,10.8,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-012,ISI-012,Kokam,Nickel rich,NMC,Pouch,SLPB160460330,Active,Prismatic,6000,70,455,240,4.2,3.7,2.7,48,480,1,4510,475,240,48,1,0.5,327,15.8,462,21,KKDS-20200514-BM-CEL-26 ,CC-CV,0.02,90%,-10,55,-20,30,2.04,4.27,0.696,9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-013,ISI-013,Kokam,Nickel rich,NMC,Pouch,SLPB100216216H,Active,Prismatic,6000,70,370,40,4.2,3.7,2.7,8,320,1,940,475,120,8,1,0.5,227,10.3,226,21,-,CC-CV,0.02,90%,0,55,-20,40,2.6,4.28,0.832,7.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-014,ISI-014,Kokam,Nickel rich,NMC,Pouch,SLPB120216216HR2,Active,Prismatic,10000,70,348,46,4.2,3.7,2.7,9.2,368,1,1145,475,138,9.2,1,0.5,227,12.2,226,21,KKDS-20200310-BM-CEL-01 ,CC-CV,0.02,90%,0,55,-10,40,7.6,4.29,2.897,9.9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-015,ISI-015,Kokam,Nickel rich,NMC,Pouch,SLPB120216216G1H,Active,Prismatic,6000,70,429,57,4.2,3.68,2.7,11.4,456,1,1175,475,171,11.4,1,0.5,227,12.2,226,21,KKDS-20200916-BM-CEL-31 ,CC-CV,0.02,90%,-20,55,-20,40,6.33,4.25,2.951,8.1,15.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-016,ISI-016,Kokam,Nickel rich,NMC,Pouch,SLPB125255255H,Active,Prismatic,6000,70,355,75,4.2,3.7,2.7,15,600,1,1665,475,225,15,1,0.5,265,13,268,21,-,CC-CV,0.02,90%,-20,60,-20,25,1.5,4.24,0.924,9,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-017,ISI-017,Kokam,Nickel rich,NMC,Pouch,SLPB125255255G1H,Active,Prismatic,6000,70,355,85,4.2,3.7,2.7,17,680,1,1735,475,255,17,1,0.5,265,12.6,268,21,-,CC-CV,0.02,90%,0,50,0,35,6.49,4.21,0.572,10.8,16.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-018,ISI-018,CALB,Lithium Iron Phosphate,LFP,Prismatic,CA40,Active,Prismatic,2000,80,355,40,3.65,3.2,2.5,12,80,0.3,1500,475,40,12,0.3,0.5,116,46,118,21,-,CC-CV,0.02,80%,-10,50,0,35,6.62,4.27,3.809,17.1,9.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-019,ISI-019,CALB,Lithium Iron Phosphate,LFP,Prismatic,CA60,Active,Prismatic,2000,80,355,60,3.65,3.2,2.5,18,120,0.3,2000,475,60,18,0.3,0.5,115,41,240,21,-,CC-CV,0.02,80%,0,50,0,30,7.91,4.27,1.587,11.7,11.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-020,ISI-020,CALB,Lithium Iron Phosphate,LFP,Prismatic,CA100,Active,Prismatic,2000,80,355,100,3.65,3.2,2.5,30,200,0.3,3400,475,100,30,0.3,0.5,142,67,213,21,-,CC-CV,0.02,80%,0,60,-10,30,4.96,4.22,7.828,15.3,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-021,ISI-021,CALB,Lithium Iron Phosphate,LFP,Prismatic,SE180AHA,Active,Prismatic,2000,80,355,180,3.65,3.2,2.5,54,180,1,5600,475,180,54,0.3,0.97,180,71,279,21,15.08.2016,CC-CV,0.02,80%,-20,60,0,25,5.69,4.22,9.623,12.6,8.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-022,ISI-022,CATL,Lithium Iron Phosphate,LFP,Prismatic,LEP71H3L7-01,Active,Prismatic,4000,80,355,302,3.65,3.2,2.5,151,302,0.5,5510,475,302,151,0.5,0.5,207,71,173,21,Document: CTPS-71H3L7-01 ,CC-CV,0.02,80%,-10,55,-20,30,6.36,4.29,4.245,14.4,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-023,ISI-023,CATL,Lithium Iron Phosphate,LFP,Prismatic,LEP54H4K1,Active,Prismatic,3500,80,355,202,3.65,3.2,2.5,101,202,0.5,3840,475,202,101,0.5,0.5,201,57,174,21,-,CC-CV,0.02,80%,0,55,0,40,4.37,4.29,3.192,12.6,6.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-024,ISI-024,COSLIGHT,Lithium Iron Phosphate,LFP,Prismatic,FP45173209A,Active,Prismatic,3000,80,355,150,3.65,3.2,2.5,75,450,0.5,3840,475,150,75,0.5,0.5,201,45.5,174,21,-,CC-CV,0.02,100%,-20,60,0,30,5.48,4.24,1.101,17.1,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
